#time 1-1 1-2 2-1 2-2 3-1 3-2
0 1.00029 1.00029 1.00029 1.00029 1.00029 1.00029
100 22.1038 16.1219 1.45166 1.01482 1.0101 1.00071
200 31.105 24.6402 2.27324 1.02233 1.04977 1.00146
300 37.9794 32.6197 2.59963 1.03393 1.21302 1.00255
400 43.4958 39.0266 2.72635 1.05155 1.44192 1.00564
500 45.3655 40.2698 2.78455 1.06751 1.59434 1.01344
600 45.7387 40.6209 2.8039 1.08438 1.65219 1.02522
700 46.706 41.3546 2.79411 1.10108 1.66164 1.0389
800 48.2057 42.0812 2.70754 1.11995 1.65538 1.054
900 48.0819 42.7067 2.78387 1.14142 1.61784 1.07017
1000 50.8449 43.1096 2.78498 1.16094 1.57805 1.08191
1100 50.8421 43.514 2.84601 1.17868 1.58236 1.08405
1200 51.9569 44.515 2.92958 1.19636 1.58409 1.08465
1300 51.7353 44.6943 2.95493 1.21746 1.58841 1.08464
1400 50.5868 43.3765 2.97266 1.22906 1.57263 1.07615
1500 52.6328 43.8834 2.92334 1.24214 1.57005 1.07288
1600 52.5485 44.6102 2.93998 1.26813 1.57517 1.06572
1700 52.4186 46.5059 3.02271 1.27791 1.56663 1.06445
1800 52.3039 47.7892 3.03855 1.27326 1.55686 1.05761
1900 55.3014 49.8354 3.06356 1.29227 1.55716 1.05504
2000 56.4072 50.3558 3.02502 1.30945 1.54889 1.05048
